Label,Required,label,
Release-Format,Required,,Album
UPC,Required,album_ean,
Catalog-Number,Optional,catalog_number,
Release-Title,Required,album_title,
Release-Title-Version,Optional,,
Release-Date,Required,street_date,
Original-Release-Date,Required,street_date,
Preorder-Date,Optional,,
Release-Categories,Required,primary_genre,
Metadata-Language,Required,,English
Release-Advisory,Required,,[Blank]
Recording-Location,Optional,,
Image-Format,Required,,jpg
Territory-Availability,Required,,WW
iTunes-Price-Tier,Required,,Mid/Front
Release-Display-Artist,Required,album_artist,
Release-Primary-Artist,Required,album_artist,
Release-Main-Artist,Optional,,
Release-Featured-Artist,Optional,,
Release-Producer,Optional,,
Release-Remixer,Optional,,
Release-Mixer,Optional,,
Release-Engineer,Optional,,
Disc-Number,Required,disc_number,
Track-Number,Required,track_number,
ISRC,Required,isrc,
Track-Title,Required,track_title,
Track-Title-Version,Optional,,
Audio-File-Format,Required,,wav
Track-Audio-Language,Required,,English
Track-Advisory,Required,,[Blank]
Track-Stream-Date,Optional,,
Track-Download-Date,Optional,,
Track-Categories,Optional,,
C-Line,Required,cline_year,cline
P-Line,Required,pline_year,pline
Rights-Holders,Required,,
Track-Display-Artist,Required,,
Track-Primary-Artist,Required,,
Track-Main-Artist,Optional,,
Track-Featured-Artist,Optional,,
Track-Producer,Optional,,
Track-Remixer,Optional,,
Track-Mixer,Optional,,
Track-Engineer,Optional,,
Track-Composer,Optional,,
Track-Lyricist,Optional,,
Track-Publisher,Optional,,
