album_artist,album_composer,album_title,album_ean,catalog_number,publisher_info,street_date,label,disc_number,track_number,isrc,track_title,track_movement,active,track_artists,track_composer,minutes,seconds,primary_genre,cline_year,cline,pline_year,pline
Yvar Mikhashoff,Alvin Curran,Alvin Curran: Piano Works,764593004929,MOD-CD-49,,10/17/1995,Mode,1,1,US-4BP-04-00369,Schtetl Variations I,,Checked,Yvar Mikhashoff,Alvin Curran,38,24,Classical,1995,Mode,1995,Mode
Yvar Mikhashoff,Alvin Curran,Alvin Curran: Piano Works,764593004929,MOD-CD-49,,10/17/1995,Mode,1,2,US-4BP-04-00370,For Cornelius,,Checked,Yvar Mikhashoff,Alvin Curran,13,42,Classical,1995,Mode,1995,Mode
Yvar Mikhashoff,Alvin Curran,Alvin Curran: Piano Works,764593004929,MOD-CD-49,,10/17/1995,Mode,1,3,US-4BP-04-00371,The Last Acts Of Julian Beck - Julian Steps Out For A Cappuccino,,Checked,Yvar Mikhashoff,Alvin Curran,7,43,Classical,1995,Mode,1995,Mode
Yvar Mikhashoff,Alvin Curran,Alvin Curran: Piano Works,764593004929,MOD-CD-49,,10/17/1995,Mode,1,4,US-4BP-04-00372,The Last Acts Of Julian Beck - He Meets His Maker On Upper Broadway,,Checked,Yvar Mikhashoff,Alvin Curran,8,51,Classical,1995,Mode,1995,Mode
Yvar Mikhashoff,Alvin Curran,Alvin Curran: Piano Works,764593004929,MOD-CD-49,,10/17/1995,Mode,1,5,US-4BP-04-00373,"The Last Acts Of Julian Beck - Walks Into ""paradise Now""",,Checked,Yvar Mikhashoff,Alvin Curran,4,32,Classical,1995,Mode,1995,Mode
"The Arditti Quartet; Hildegard Kleeb, Bernd Thurner",Roland Dahinden,Roland Dahinden: Silberen,764593013822,MOD-CD-138,,7/27/2004,Mode,1,1,US-4BP-04-01173,Silberen,,Checked,"The Arditti Quartet, Hildegard Kleeb",Roland Dahinden,44,27,Classical,2004,Mode,2004,Mode
"The Arditti Quartet; Hildegard Kleeb, Bernd Thurner",Roland Dahinden,Roland Dahinden: Silberen,764593013822,MOD-CD-138,,7/27/2004,Mode,1,2,US-4BP-04-01174,Lichtweiss - Lichtweiss I,,Checked,Bernd Thurner,Roland Dahinden,4,37,Classical,2004,Mode,2004,Mode
"The Arditti Quartet; Hildegard Kleeb, Bernd Thurner",Roland Dahinden,Roland Dahinden: Silberen,764593013822,MOD-CD-138,,7/27/2004,Mode,1,3,US-4BP-04-01175,Lichtweiss - Lichtweiss Ii,,Checked,Bernd Thurner,Roland Dahinden,6,45,Classical,2004,Mode,2004,Mode
"The Arditti Quartet; Hildegard Kleeb, Bernd Thurner",Roland Dahinden,Roland Dahinden: Silberen,764593013822,MOD-CD-138,,7/27/2004,Mode,1,4,US-4BP-04-01176,Lichtweiss - Lichtweiss Iii,,Checked,Bernd Thurner,Roland Dahinden,7,24,Classical,2004,Mode,2004,Mode
"The Arditti Quartet; Hildegard Kleeb, Bernd Thurner",Roland Dahinden,Roland Dahinden: Silberen,764593013822,MOD-CD-138,,7/27/2004,Mode,1,5,US-4BP-04-01177,Lichtweiss - Lichtweiss Iv,,Checked,Bernd Thurner,Roland Dahinden,2,54,Classical,2004,Mode,2004,Mode
Marc Sabat & Stephen Clarke,Christian Wolff,Christian Wolff: Complete Works For Violin & Piano,764593012627,MOD-CD-126,,8/26/2003,Mode,1,1,US-4BP-04-01087,Pebbles,,Checked,Marc Sabat & Stephen Clarke,Christian Wolff,35,56,Classical,2003,Mode,2003,Mode
Marc Sabat & Stephen Clarke,Christian Wolff,Christian Wolff: Complete Works For Violin & Piano,764593012627,MOD-CD-126,,8/26/2003,Mode,1,2,US-4BP-04-01088,Duo For Violinist And Pianist - Version One,,Checked,Marc Sabat & Stephen Clarke,Christian Wolff,17,24,Classical,2003,Mode,2003,Mode
Marc Sabat & Stephen Clarke,Christian Wolff,Christian Wolff: Complete Works For Violin & Piano,764593012627,MOD-CD-126,,8/26/2003,Mode,1,3,US-4BP-04-01089,Duo For Violinist And Pianist - Version Two,,Checked,Marc Sabat & Stephen Clarke,Christian Wolff,5,55,Classical,2003,Mode,2003,Mode
Nicholas Isherwood,Mauricio Kagel,Mauricio Kagel: Phonophonie,764593012726,MOD-CD-127,,11/11/2003,Mode,1,1,US-4BP-04-01090,Transicion II,,Checked,"Aldo Orvieto, Dimitri Fiorin, Alvise Vidolin",Mauricio Kagel,21,42,Classical,2003,Mode,2003,Mode
